Section          Name                            Description
libs             libxxf86vm1:amd64               X11 XFree86 video mode extension library
libs             libyaml-0-2:amd64               Fast YAML 1.1 parser and emitter library
libs             libzstd1:amd64                  fast lossless compression algorithm
libs             locales                         GNU C Library: National Language (locale) data [support]
libs             mesa-vulkan-drivers:amd64       Mesa Vulkan graphics drivers
libs             packagekit-tools                Provides PackageKit command-line tools
libs             perl-modules-5.30               Core Perl modules
libs             tk8.6-blt2.5                    graphics extension library for Tcl/Tk - library
libs             tzdata                          time zone and daylight-saving time data
libs             uuid-runtime                    runtime components for the Universally Unique ID library
libs             zlib1g:amd64                    compression library - runtime
localization     krb5-locales                    internationalization support for MIT Kerberos
math             bc                              GNU bc arbitrary precision calculator language
metapackages     init                            metapackage ensuring an init system is installed
metapackages     ubuntu-minimal                  Minimal core of Ubuntu
metapackages     ubuntu-server                   The Ubuntu Server system
metapackages     ubuntu-standard                 The Ubuntu standard system
metapackages     ubuntu-wsl                      Ubuntu on Windows tools - Windows Subsystem for Linux integration
misc             byobu                           text window manager, shell multiplexer, integrated DevOps environment
misc             ca-certificates                 Common CA certificates
misc             libglib2.0-bin                  Programs for the GLib library
misc             libglib2.0-data                 Common files for GLib library
misc             libkeyutils1:amd64              Linux Key Management Utilities (library)
misc             lsb-base                        Linux Standard Base init script functionality
misc             lsb-release                     Linux Standard Base version reporting utility
misc             lxd-agent-loader                LXD - VM agent loader
misc             pastebinit                      command-line pastebin client
misc             popularity-contest              Vote for your favourite packages automatically
misc             screen                          terminal multiplexer with VT100/ANSI terminal emulation
misc             shared-mime-info                FreeDesktop.org shared MIME database and spec
misc             ssh-import-id                   securely retrieve an SSH public key and install it locally
misc             ubuntu-advantage-tools          management tools for Ubuntu Advantage
misc             ubuntu-keyring                  GnuPG keys of the Ubuntu archive
net              bind9-dnsutils                  Clients provided with BIND 9
net              bind9-host                      DNS Lookup Utility
net              ftp                             classical file transfer client
net              iproute2                        networking and traffic control tools
net              iptables                        administration tools for packet filtering and NAT
net              iputils-ping                    Tools to test the reachability of network hosts
net              iputils-tracepath               Tools to trace the network path to a remote host
net              isc-dhcp-client                 DHCP client for automatically obtaining an IP address
net              isc-dhcp-common                 common manpages relevant to all of the isc-dhcp packages
net              libnetplan0:amd64               YAML network configuration abstraction runtime library
net              mime-support                    MIME files 'mime.types' & 'mailcap', and support programs
net              mtr-tiny                        Full screen ncurses traceroute tool
net              netcat-openbsd                  TCP/IP swiss army knife
net              netplan.io                      YAML network configuration abstraction for various backends
net              open-iscsi                      iSCSI initiator tools
net              openssh-client                  secure shell (SSH) client, for secure access to remote machines
net              openssh-server                  secure shell (SSH) server, for secure access from remote machines
net              openssh-sftp-server             secure shell (SSH) sftp server module, for SFTP access from remote machines
net              publicsuffix                    accurate, machine-readable list of domain name suffixes
net              rsync                           fast, versatile, remote (and local) file-copying tool
net              tcpdump                         command-line network traffic analyzer
net              telnet                          basic telnet client
otherosfs        dosfstools                      utilities for making and checking MS-DOS FAT filesystems
otherosfs        ntfs-3g                         read/write NTFS driver for FUSE
perl             libalgorithm-diff-perl          module to find differences between files
perl             libalgorithm-diff-xs-perl       module to find differences between files (XS accelerated)
perl             libalgorithm-merge-perl         Perl module for three-way merge of textual data
perl             libcgi-fast-perl                CGI subclass for work with FCGI
perl             libcgi-pm-perl                  module for Common Gateway Interface applications
perl             libdpkg-perl                    Dpkg perl modules
perl             libencode-locale-perl           utility to determine the locale encoding
perl             liberror-perl                   Perl module for error/exception handling in an OO-ish way
perl             libfcgi-perl                    helper module for FastCGI
